date,year,month,month_name,region_label,station_name,station_id,latitude,longitude,elevation_m,monthly_rainfall_mm
1902-11-01,1902,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,3.3
1902-12-01,1902,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,68.1
1903-01-01,1903,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,19.0
1903-02-01,1903,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,18.1
1903-03-01,1903,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,30.7
1903-04-01,1903,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,54.1
1903-05-01,1903,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,13.6
1903-06-01,1903,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,48.9
1903-07-01,1903,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,26.5
1903-08-01,1903,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,31.0
1903-09-01,1903,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,63.7
1903-10-01,1903,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,14.9
1903-11-01,1903,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,62.7
1903-12-01,1903,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,19.1
1904-01-01,1904,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,44.1
1904-02-01,1904,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,10.0
1904-03-01,1904,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,10.6
1904-04-01,1904,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,21.8
1904-05-01,1904,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,28.1
1904-06-01,1904,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,57.8
1904-07-01,1904,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,26.6
1904-08-01,1904,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,34.1
1904-09-01,1904,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,4.6
1904-10-01,1904,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,33.4
1904-11-01,1904,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,8.4
1904-12-01,1904,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,0.0
1905-01-01,1905,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,36.9
1905-02-01,1905,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,3.8
1905-03-01,1905,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,6.6
1905-04-01,1905,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,87.7
1905-05-01,1905,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,48.8
1905-06-01,1905,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,47.7
1905-07-01,1905,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,51.1
1905-08-01,1905,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,16.8
1905-09-01,1905,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,46.3
1905-10-01,1905,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,47.1
1905-11-01,1905,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,6.4
1905-12-01,1905,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,0.3
1906-01-01,1906,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,0.0
1906-02-01,1906,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,11.2
1906-03-01,1906,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,68.4
1906-04-01,1906,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,2.3
1906-05-01,1906,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,11.4
1906-06-01,1906,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,83.5
1906-07-01,1906,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,43.9
1906-08-01,1906,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,66.5
1906-09-01,1906,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,54.5
1906-10-01,1906,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,38.1
1906-11-01,1906,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,62.2
1906-12-01,1906,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,30.2
1907-01-01,1907,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,0.0
1907-02-01,1907,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,6.4
1907-03-01,1907,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,8.6
1907-04-01,1907,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,32.4
1907-05-01,1907,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,48.8
